title,date,location,meet url id,old weight classes
VII MEDITERRANEAN CUP,"Jan 26, 2013","Brindisi, ITA",?event_id=268,true
PACIFIC CUP TOURNAMENT,"Dec 19, 2014","Mont Dore, NCL",?event_id=301,true
4th FISU WORLD UNIVERSITY CHAMPIONSHIPS,"Dec 05, 2014","Chiangmai, THA",?event_id=299,true
EUROPEAN JUNIOR CHAMPIONSHIPS,"Nov 21, 2014","Limassol, CYP",?event_id=305,true
3rd ASIAN CUP & INTERCLUBS JUNIOR CHAMPIONSHIPS,"Nov 18, 2014","Tashkent, UZB",?event_id=307,true
1st AFRO-ASIAN CHAMPIONSHIPS,"Nov 18, 2014","Tashkent, UZB",?event_id=300,true
3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,"Nov 18, 2014","Tashkent, UZB",?event_id=306,true
2014 IWF WORLD CHAMPIONSHIPS,"Nov 04, 2014","Almaty, KAZ",?event_id=298,true
1st EUROPEAN UNION JUNIOR CUP,"Sep 26, 2014","Split, CRO",?event_id=303,true
1st EUROPEAN UNION YOUTH CUP,"Sep 26, 2014","Split, CRO",?event_id=304,true
2014 ASIAN GAMES,"Sep 19, 2014","Incheon, KOR",?event_id=297,true
2014 IWF GRAND PRIX - PRESIDENT'S CUP,"Sep 06, 2014","NOYABRSK, RUS",?event_id=296,true
2nd YOUTH OLYMPIC GAMES,"Aug 16, 2014","Nanjing, CHN",?event_id=295,true
2014 COMMONWEALTH GAMES,"Jul 23, 2014","Glasgow, GBR",?event_id=291,true
2014 IWF JUNIOR WORLD CHAMPIONSHIPS,"Jun 20, 2014","Kazan, RUS",?event_id=288,true
PAN AMERICAN CHAMPIONSHIPS,"May 26, 2014","Santo Domingo, DOM",?event_id=290,true
2014 OCEANIAN CHAMPIONSHIPS,"May 25, 2014","Mont Dore, NCL",?event_id=287,true
2014 OCEANIAN JUNIOR CHAMPIONSHIPS,"May 25, 2014","Mont Dore, NCL",?event_id=286,true
2014 SOUTH PACIFIC CHAMPIONSHIPS,"May 25, 2014","Mont Dore, NCL",?event_id=292,true
2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS,"May 25, 2014","Mont Dore, NCL",?event_id=293,true
2014 SOUTH PACIFIC YOUTH CHAMPIONSHIPS,"May 25, 2014","Mont Dore, NCL",?event_id=294,true
2014 OCEANIAN YOUTH CH. (YOG Qualification),"May 25, 2014","Mont Dore, NCL",?event_id=285,true
2014 AFRICAN YOUTH GAMES,"May 23, 2014","Gaborone, BOT",?event_id=289,true
2014 SOUTH AMERICAN YOUTH CHAMPIONSHIPS,"May 07, 2014","Lima, PER",?event_id=284,true
2014 PAN-AMERICAN YOUTH CH. (YOG Qualification),"May 07, 2014","LIMA, PER",?event_id=283,true
2014 EUROPEAN YOUTH CH. (YOG Qualification),"Apr 28, 2014","Ciechanow, POL",?event_id=282,true
2014 AFRICAN JUNIOR CHAMPIONSHIPS,"Apr 15, 2014","TUNIS, TUN",?event_id=280,true
